id,source_platform,source_channel,text,text_raw,bubble_label,bubble_self_identified,topic,rhetoric_type,video_id,video_title,video_date,comment_date,likes,lang,collected_at
yt_5rHoTX3U_3Q_UgxaV5so7vyeXpyy8up4AaABAg,youtube,georgesimionoficial,Felicitării George Simion Președintele României!🇷🇴😇⛑️🇷🇴❤️🛐❤️✝️✝️✝️❤️🕯️💐🇷🇴🙌💯🙌.,Felicitării George Simion Președintele României!🇷🇴😇⛑️🇷🇴❤️🛐❤️✝️✝️✝️❤️🕯️💐🇷🇴🙌💯🙌.,,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-23,1,ro,2026-03-22
yt_5rHoTX3U_3Q_UgwJYiRLMbLfl2AipVR4AaABAg,youtube,georgesimionoficial,Asa trebuie să fiți printre oameni nu sa se doarmă in parlament succes domnule Simion nu am greșit cind v-am votat,Asa trebuie să fiți printre oameni nu sa se doarmă in parlament succes domnule Simion nu am greșit cind v-am votat,,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-02,5,ro,2026-03-22
yt_5rHoTX3U_3Q_UgzXqOk_SypZcQS-JcF4AaABAg,youtube,georgesimionoficial,"Eu am votat cu George Simion din primul tur ptr că am vrut să avem președintele României un tânăr Roman,un patriot și un luptător. Încă nu mi-am pierdut speranța, sper să ne facem bine.","Eu am votat cu George Simion din primul tur ptr că am vrut să avem președintele României un tânăr Roman,un patriot și un luptător. Încă nu mi-am pierdut speranța, sper să ne facem bine.",,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-01,30,ro,2026-03-22
yt_5rHoTX3U_3Q_UgzpKghDX0_l-Gc3P4V4AaABAg,youtube,georgesimionoficial,"Si de trebuie deposite de combustibil degeaba avem tancuri,blindate etc daca stau parcate ,cauta sursele de petrol care le are romania si daca nu avem Sau nu suficient cumparam CAT de mult putem deposita","Si de trebuie deposite de combustibil degeaba avem tancuri,blindate etc daca stau parcate ,cauta sursele de petrol care le are romania si daca nu avem Sau nu suficient cumparam CAT de mult putem deposita",,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-16,3,ro,2026-03-22
yt_5rHoTX3U_3Q_UgwqOTRSHNPj9cuGwNt4AaABAg,youtube,georgesimionoficial,"Nu te descuraja că dobitoci și proști vor fi peste tot nu poti sa-i mulțumești pe toți, cu D-ZEU înainte, UNITATE LIBERTATE, PACE, DEMOCRAȚIE. FORȚA AUR, GEORGE SIMION. JOS GUVERNUL ROMÂNIEI. DEMISIA NICUȘOR Dan BOLOJAN PREDOIU VEXLER FRITZ LUDOVIC TERHES KELEMEN HUNOR BARNA CÎȚU..... șamd. CĂLIN GEORGESCU PREȘEDINTELE ROMÂNIEI.","Nu te descuraja că dobitoci  și proști  vor fi peste tot  nu poti sa-i mulțumești pe toți, cu D-ZEU înainte, UNITATE LIBERTATE, PACE, DEMOCRAȚIE. FORȚA AUR, GEORGE SIMION.  JOS GUVERNUL ROMÂNIEI. DEMISIA NICUȘOR Dan BOLOJAN PREDOIU VEXLER FRITZ LUDOVIC TERHES KELEMEN HUNOR BARNA CÎȚU..... șamd.
CĂLIN GEORGESCU PREȘEDINTELE ROMÂNIEI.",,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-01,9,ro,2026-03-22
yt_5rHoTX3U_3Q_UgwByMek0NxfWrbEVw54AaABAg,youtube,georgesimionoficial,"Salutare Simioane, bine că te freacă la creier pe tine, dar de Iohanis, nu mai comentează nimeni , la ce deplasări aiurea și fără interes Popular, făcea, sau pe Mucea care se plimbă pe la Timișoara, cu Fritz la braț. Bravoooo George Simion.","Salutare Simioane, bine că te freacă la creier pe tine, dar de Iohanis, nu mai comentează nimeni , la ce deplasări aiurea și fără interes Popular, făcea, sau pe Mucea  care se plimbă pe la Timișoara, cu Fritz la braț. Bravoooo George Simion.",,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-09-30,10,ro,2026-03-22
yt_5rHoTX3U_3Q_UgwhIfzeGvM6jT80qrl4AaABAg,youtube,georgesimionoficial,Vă felicit domnule George că mergeți pe teren să ascultați și să vedeți problemele și nevoile oamenilor❤,Vă felicit domnule George că mergeți pe teren să ascultați și să vedeți problemele și nevoile oamenilor❤,,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-01,15,ro,2026-03-22
yt_5rHoTX3U_3Q_UgwoP4K4y-pzIP-janJ4AaABAg,youtube,georgesimionoficial,Tot aud că Simion e un monstru politic. Așa spuneau și despre Vlad Țepeș. Și cu asta am spus tot.🇷🇴☦️,"Tot aud că Simion e un monstru politic. Așa spuneau și despre Vlad Țepeș. 
Și cu asta am spus tot.🇷🇴☦️",,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-09-30,5,ro,2026-03-22
yt_5rHoTX3U_3Q_Ugyzb-KuLLMJWMRjCPV4AaABAg,youtube,georgesimionoficial,"Așa da, domnule Simion! Tot înainte, până la victoria finală!❤️💛💙🙏🙏🙏","Așa da, domnule Simion! Tot înainte, până la victoria finală!❤️💛💙🙏🙏🙏",,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-01,20,ro,2026-03-22
yt_5rHoTX3U_3Q_UgwbX_uW2wqqCMMpUuN4AaABAg,youtube,georgesimionoficial,Respect George pentru sacrificiile pe care le faci pentru acest popor. Sunt convins ca ve-ti reusi sa ajungeti la putere si astfel sa indreptati lucrurile in tara noastra. Iti doresc mult succes si multa putere de munca.,Respect George pentru sacrificiile pe care le faci pentru acest popor. Sunt convins ca ve-ti reusi sa ajungeti la putere si astfel sa indreptati lucrurile in tara noastra. Iti doresc mult succes si multa putere de munca.,,False,,,5rHoTX3U_3Q,Turul României: realități de la firul ierbii,2025-09-30,2025-10-01,2,ro,2026-03-22
